CompanyName;OrderDate;
Eastern Connection;01/01/1997 00:00:00;
Rattlesnake Canyon Grocery;01/01/1997 00:00:00;
Ernst Handel;02/01/1997 00:00:00;
Ernst Handel;03/01/1997 00:00:00;
Magazzini Alimentari Riuniti;03/01/1997 00:00:00;
LINO-Delicateses;06/01/1997 00:00:00;
Queen Cozinha;07/01/1997 00:00:00;
Ottilies Käseladen;07/01/1997 00:00:00;
Folies gourmandes;08/01/1997 00:00:00;
Océano Atlántico Ltda.;09/01/1997 00:00:00;
Bottom-Dollar Markets;10/01/1997 00:00:00;
Bottom-Dollar Markets;10/01/1997 00:00:00;
Wartian Herkku;13/01/1997 00:00:00;
La maison d'Asie;14/01/1997 00:00:00;
Familia Arquibaldo;14/01/1997 00:00:00;
Hungry Coyote Import Store;15/01/1997 00:00:00;
Wartian Herkku;16/01/1997 00:00:00;
Simons bistro;16/01/1997 00:00:00;
QUICK-Stop;17/01/1997 00:00:00;
Richter Supermarkt;20/01/1997 00:00:00;
Wellington Importadora;21/01/1997 00:00:00;
Que Delícia;21/01/1997 00:00:00;
Franchi S.p.A.;22/01/1997 00:00:00;
Gourmet Lanchonetes;23/01/1997 00:00:00;
Mère Paillarde;23/01/1997 00:00:00;
La maison d'Asie;24/01/1997 00:00:00;
Galería del gastrónomo;27/01/1997 00:00:00;
Piccolo und mehr;27/01/1997 00:00:00;
Reggiani Caseifici;28/01/1997 00:00:00;
Hungry Owl All-Night Grocers;29/01/1997 00:00:00;
Ernst Handel;30/01/1997 00:00:00;
Bottom-Dollar Markets;30/01/1997 00:00:00;
Split Rail Beer & Ale;31/01/1997 00:00:00;
Princesa Isabel Vinhos;03/02/1997 00:00:00;
Folk och fä HB;03/02/1997 00:00:00;
Consolidated Holdings;04/02/1997 00:00:00;
Blondesddsl père et fils;05/02/1997 00:00:00;
Wartian Herkku;05/02/1997 00:00:00;
Toms Spezialitäten;06/02/1997 00:00:00;
Mère Paillarde;07/02/1997 00:00:00;
Save-a-lot Markets;10/02/1997 00:00:00;
Old World Delicatessen;10/02/1997 00:00:00;
Ernst Handel;11/02/1997 00:00:00;
Reggiani Caseifici;12/02/1997 00:00:00;
Berglunds snabbköp;12/02/1997 00:00:00;
Berglunds snabbköp;13/02/1997 00:00:00;
Toms Spezialitäten;14/02/1997 00:00:00;
Ricardo Adocicados;14/02/1997 00:00:00;
Rancho grande;17/02/1997 00:00:00;
Blondesddsl père et fils;18/02/1997 00:00:00;
Victuailles en stock;19/02/1997 00:00:00;
QUICK-Stop;19/02/1997 00:00:00;
Save-a-lot Markets;20/02/1997 00:00:00;
Around the Horn;21/02/1997 00:00:00;
